id;abc;fm;to;capacity;zona;stat;oper;region;area;ts
0;901;0136500;0136599;100;4;mg;ООО "Т2 Мобайл";Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;7743895280;2025-05-01 12:46:22
0;901;0136600;0136699;100;5;mg;ООО "Т2 Мобайл";Забайкальский край;Забайкальский край;7743895280;2025-05-01 12:46:22
0;901;0136700;0136799;100;6;mg;ООО "Т2 МОБАЙЛ";Еврейская автономная обл.;Еврейская автономная область;7743895280;2025-05-01 12:46:22
0;901;0136800;0136899;100;6;mg;ООО "Т2 Мобайл";Амурская обл.;Амурская область;7743895280;2025-05-01 12:46:22
0;901;0136900;0136999;100;6;mg;ООО "Т2 МОБАЙЛ";Камчатский край;Камчатский край;7743895280;2025-05-01 12:46:22
0;901;0137000;0137099;100;2;mg;ООО "Т2 Мобайл";Владимирская обл.;Владимирская область;7743895280;2025-05-01 12:46:22
0;901;0137100;0137199;100;3;mg;ООО "МиАТел";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7841482919;2025-05-01 12:46:22
0;901;0137200;0137999;800;3;mg;ООО "МиАТел";г. Санкт-Петербург * Ленинградская область;Город Санкт-Петербург, Ленинградская область;7841482919;2025-05-01 12:46:22
0;901;0138000;0139999;2000;4;mg;АО "МТТ";Алтайский край;Алтайский край;7705017253;2025-05-01 12:46:22
0;901;0140000;0169999;30000;3;mg;ООО "Т2 МОБАЙЛ";Краснодарский край;Краснодарский край;7743895280;2025-05-01 12:46:22
0;901;0170000;0199999;30000;5;mg;ООО "Т2 МОБАЙЛ";Республика Тыва;Республика Тыва;7743895280;2025-05-01 12:46:22
0;901;0200000;0209999;10000;4;mg;ООО "Т2 Мобайл";Республика Дагестан;Республика Дагестан;7743895280;2025-05-01 12:46:22
0;901;0298600;0299899;1300;3;mg;ООО ИК "СИБИНТЕК";Самарская обл.;Самарская область;7708119944;2025-05-01 12:46:22
0;901;0299900;0299999;100;3;mg;ООО "МИАТЕЛ";г. Санкт-Петербург и Ленинградская область;Город Санкт-Петербург, Ленинградская область;7841482919;2025-05-01 12:46:22
